id,assigned_amount,budget_id,is_recurring,month,name
1,200,4,1,2024-08-07,flight
2,100,4,0,2024-08-07,food
3,600,4,0,2024-08-07,clothes
4,200,4,1,2024-09-01,flight
5,300,5,1,2024-08-07,Groceries
6,300,5,1,2024-09-01,Groceries
7,20000,11,1,2024-08-07,kelz
9,700,2,1,2024-09-01,Bills
10,100000,15,1,2024-08-09,Scholling
14,600,2,1,2024-08-10,Bills1
15,100000,21,1,2024-08-10,"first recurring"
16,100000,21,1,2024-09-01,"first recurring1"
17,700,2,1,2024-10-01,Bills2
18,100,25,1,2024-08-12,Grocery
19,100,25,1,2024-09-01,Grocery1
20,100,25,1,2024-10-01,Grocery2